cluster_id,total_PRCSF,total_AI,total_PLA_AI,total_PLAN_AI,total_PLAAF_AI,total_PLARF_AI,total_PLAOther_AI,total_PAP_AI,total_MPS_AI,NP,growth_percent_5yr,growth_percent_3yr,citations_per_paper,ai_percent,nlp_percent,cv_percent,ro_percent,max_type,level1_mag,subject
2499,45,1,1,0,0,0,1,0,0,3267,-11.7,-20.19,22.69,2.48,0.03,2.79,0.03,Other,radiology,"ultrasound,mammography,breast cancer"
220,45,4,4,0,2,0,2,0,0,4341,-40.27,-23.29,28.42,1.17,0.02,0.07,0.16,Other,computer network,"network,nodes,paper"
28739,45,8,7,1,1,2,3,0,1,1325,-63.41,-70.39,5.5,6.87,0.15,0.68,1.21,Other,algorithm,"wireless sensor network,无线传感器网络,wireless sensor networks"
62420,45,1,1,0,0,0,1,0,0,768,-72.92,-65.79,5.88,0.0,0.0,0.0,0.0,Other,internal medicine,"lamivudine,拉米夫定,chronic hepatitis b"
79430,45,3,3,0,0,0,3,0,0,864,-56.72,-57.35,3.84,0.46,0.0,0.0,0.0,Other,medical emergency,"突发事件,public health emergency,突发公共卫生事件"
3435,45,1,1,0,0,0,1,0,0,2831,-18.27,19.26,52.13,0.11,0.0,0.0,0.0,Other,internal medicine,"sleep apnea,patients,apnea"
7271,45,40,36,5,2,8,22,0,4,1769,-79.01,-71.67,23.57,37.99,0.11,34.43,1.47,CV,artificial intelligence,"particle filter,tracking,object tracking"
57475,45,2,1,0,0,0,1,1,0,807,-76.85,-72.83,54.0,0.62,0.0,0.25,0.0,Other,internal medicine,"cancer,patients,study"
390,45,1,1,0,0,0,1,0,0,5278,-52.09,-36.24,40.39,0.17,0.0,0.0,0.0,Other,internal medicine,"renal cell carcinoma,carcinoma,cell carcinoma"
6092,45,7,7,6,0,0,1,0,0,2344,-21.09,-7.94,16.76,0.98,0.0,0.0,0.04,Other,acoustics,"waves,method,mode"
66057,45,13,13,3,3,0,7,0,0,786,-53.06,-61.02,5.87,7.89,0.13,0.76,0.0,Other,risk analysis,"model,paper,system"
39092,45,2,2,0,0,0,2,0,0,1193,-66.35,-72.0,6.27,0.25,0.0,0.0,0.08,Other,physical therapy,"dysphagia,吞咽障碍,stroke"
724,45,9,8,1,1,0,6,1,1,3530,-23.65,-26.14,20.86,0.59,0.0,0.03,0.0,Other,reliability engineering,"model,software,software quality"
5805,45,3,3,1,0,1,1,0,0,1977,-26.04,5.97,15.79,0.61,0.0,0.0,0.0,Other,electronic engineering,"system,paper,visible light communication"
48254,45,1,1,0,0,0,1,0,0,913,-57.89,-68.32,6.69,0.0,0.0,0.0,0.0,Other,surgery,"deep vein thrombosis,下肢深静脉血栓,深静脉血栓"
2116,45,1,1,0,0,0,1,0,0,2325,0.93,4.85,57.8,0.0,0.0,0.0,0.0,Other,cell biology,"suppressor,expression,cytokines"
